序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,缩量天数,阶段涨跌幅,所属行业
377,603158,腾龙股份,0.84,13.26,4655.64万,6641.02万(04月14日),3,-1.49,汽车零部件
378,603167,渤海轮渡,-0.97,9.22,417.62万,591.90万(04月14日),3,0.33,港口航运
379,603183,建研院,-0.86,4.59,1242.30万,1651.13万(04月14日),3,2.46,其他社会服务
380,603205,健尔康,-0.69,25.8,54.91万,73.21万(04月14日),3,0.08,医疗器械
381,603236,移远通信,-0.93,77.0,460.74万,612.88万(04月14日),3,-1.22,通信设备
382,603239,浙江仙通,-0.86,24.17,418.61万,988.95万(04月14日),3,-0.62,汽车零部件
383,603248,锡华科技,-1.44,26.72,1080.84万,1750.40万(04月14日),3,-0.89,风电设备
384,603290,斯达半导,-0.2,99.46,434.79万,492.96万(04月14日),3,-2.55,半导体
385,603297,永新光学,1.78,112.69,144.52万,209.38万(04月14日),3,2.84,光学光电子
386,603299,苏盐井神,-0.18,11.22,546.51万,911.03万(04月14日),3,-0.18,化学原料
387,603318,水发燃气,1.18,7.7,2142.17万,3629.18万(04月14日),3,-2.9,燃气
388,603321,梅轮电梯,-1.34,7.34,348.11万,367.19万(04月14日),3,-0.27,专用设备
389,603333,尚纬股份,-1.02,7.76,598.32万,949.31万(04月14日),3,-1.77,电网设备
390,603341,龙旗科技,-0.2,38.95,647.72万,819.34万(04月14日),3,-0.87,消费电子
391,603360,百傲化学,0.68,26.69,823.89万,1158.55万(04月14日),3,-1.07,农化制品
392,603363,傲农生物,-1.67,4.13,5417.54万,1.33亿(04月14日),3,-3.73,农产品加工
393,603477,巨星农牧,-1.33,18.59,2299.17万,3751.47万(04月14日),3,-0.8,养殖业
394,603520,司太立,-1.44,10.94,2229.80万,3985.75万(04月14日),3,-2.06,化学制药
395,603528,多伦科技,-0.48,8.2,637.92万,1110.84万(04月14日),3,-1.09,软件开发
396,603533,掌阅科技,-1.09,25.48,1893.23万,3982.30万(04月14日),3,-1.39,文化传媒
397,603559,ST通脉,0.56,7.16,228.78万,300.38万(04月14日),3,-0.14,通信服务
398,603577,汇金通,-1.43,11.01,845.35万,1140.16万(04月14日),3,-0.63,电网设备
399,603586,金麒麟,0.06,18.34,156.37万,228.69万(04月14日),3,0.22,汽车零部件
400,603598,引力传媒,-0.38,21.23,1807.39万,3049.39万(04月14日),3,-0.56,文化传媒
401,603608,天创时尚,-0.69,11.58,1467.55万,2379.22万(04月14日),3,1.4,服装家纺
402,603682,锦和商管,0.14,7.26,3137.91万,5730.15万(04月14日),3,3.57,零售
403,603683,晶华新材,1.19,29.0,1525.28万,1734.24万(04月14日),3,2.76,化学制品
404,603788,宁波高发,-0.57,15.72,157.54万,197.69万(04月14日),3,1.42,汽车零部件
405,603860,中公高科,-1.13,31.47,110.08万,133.74万(04月14日),3,0.54,建筑装饰
406,603861,白云电器,0.36,16.51,1575.77万,2256.87万(04月14日),3,-0.24,电网设备
