序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,转手率,开板几日,开板日期,上市日期,是否新高,涨停统计,所属行业
112,301630,同宇新材,-3.344715118408203,249.1,309.26,381402480,2491000000.0,9964000000.0,15.283860206604004,196,2025-07-10,2025-07-10,否,0/0,通用设备
113,688729,屹唐股份,4.376657485961914,23.61,27.14,246602878,5076172004.5199995,69780771600.0,4.913377285003662,198,2025-07-08,2025-07-08,否,0/0,半导体
114,001388,信通电子,0.40139150619506836,37.52,41.11,28885152,1170624000.0,5853120000.000001,2.4752116203308105,203,2025-07-01,2025-07-01,否,0/0,电网设备
115,920037,广信科技,-0.5029115676879883,75.18,98.22,79162420,2222644675.44,6876181423.440001,3.5312139987945557,206,2025-06-26,2025-06-26,否,0/0,电网设备
116,301678,新恒汇,2.582446336746216,58.79,68.77,129195249,2816693216.2599998,14083465904.93,4.634546756744385,210,2025-06-20,2025-06-20,否,0/0,半导体
117,603400,华之杰,2.966230630874634,67.69,72.31,110095631,1353800000.0,6769000000.0,8.200684547424316,210,2025-06-20,2025-06-20,否,0/0,通用设备
118,603382,海阳科技,1.3980581760406494,26.11,28.33,24799340,946495855.1999999,4732473218.48,2.6264734268188477,216,2025-06-12,2025-06-12,否,0/0,化学纤维
119,688775,影石创新,0.8418300151824951,192.86,229.5,224872976,6325808000.0,77336860000.0,3.547192096710205,217,2025-06-11,2025-06-11,否,0/0,消费电子
120,920027,交大铁发,5.826330661773682,18.89,23.2,59625394,797224115.0,1496154115.0,7.598793983459473,218,2025-06-10,2025-06-10,否,0/0,轨交设备
121,301590,优优绿能,0.04516967013478279,177.19,212.53,108446982,1524309046.3899999,7451393750.32,7.120710372924805,221,2025-06-05,2025-06-05,否,0/0,其他电源
122,603049,中策橡胶,-0.8910490274429321,48.94,54.32,101692861,4279732526.3999996,42797325264.0,2.370002508163452,221,2025-06-05,2025-06-05,否,0/0,汽车零部
123,603014,威高血净,-0.24972252547740936,35.95,39.64,25396654,1415255585.4,15018258600.800001,1.7993574142456055,223,2025-05-19,2025-05-19,否,0/0,医疗器械
124,001390,古麒绒材,-0.1404494345188141,21.33,23.5,17234782,1066499999.9999999,4265999999.9999995,1.6110199689865112,225,2025-05-29,2025-05-29,否,0/0,纺织制造
125,301595,太力科技,1.2020866870880127,44.62,52.91,57317136,1087077060.0,4831453600.0,5.276033401489258,233,2025-05-19,2025-05-19,否,0/0,家居用品
126,301636,泽润新能,0.7727721333503723,61.29,72.98,82812967,978124413.24,3914458871.67,8.56322956085205,234,2025-05-16,2025-05-16,否,0/0,光伏设备
127,688755,汉邦科技,0.6226649880409241,40.4,48.18,28171733,711040000.0,3555200000.0,3.979414701461792,234,2025-05-16,2025-05-16,否,0/0,专用设备
128,920068,天工股份,-4.395061492919922,19.36,26.32,71387396,1213954492.96,12692416309.76,5.871594429016113,236,2025-05-14,2025-05-13,否,0/0,小金属
